province,category,quarter,contract_count,median_value,mean_value,total_value,std_value,reliability_tier,opportunity_score,pct_of_national_spend,value_rank,quarter_label,gauteng_flag,median_value_fmt,total_value_fmt
Northern Cape,Unknown,3,4,2175674.0,12596462.0,50385848.0,21543388.194527555,Caution,5.2534,0.002,143,Q3 (Jul-Sep),0,R2.18M,R50.39M
Northern Cape,Works,1,3,802300450.0,21240677900.0,63722033700.0,35767611814.023766,Caution,5.2283,2.033,144,Q1 (Jan-Mar),0,R802.30M,R63.72B
North West,Goods,2,2,15529708.5,15529708.5,31059417.0,776415.2665581093,Caution,5.2159,0.001,145,Q2 (Apr-Jun),0,R15.53M,R31.06M
Mpumalanga,Goods,4,2,43073163.0,43073163.0,86146326.0,60071318.97211129,Caution,5.0098,0.003,146,Q4 (Oct-Dec),0,R43.07M,R86.15M
North West,Works,4,4,21412919.5,39776588.41,159106353.64,51538877.52283136,Caution,4.8107,0.005,147,Q4 (Oct-Dec),0,R21.41M,R159.11M
Limpopo,Goods,1,4,134421223.5,352210704.0,1408842816.0,528806196.2642679,Caution,4.7727,0.045,148,Q1 (Jan-Mar),0,R134.42M,R1.41B
Mpumalanga,Goods,1,3,48566832.0,73674014.66666667,221022044.0,86139167.18870564,Caution,4.5131,0.007,149,Q1 (Jan-Mar),0,R48.57M,R221.02M
Free State,Works,1,4,29956945.5,109800814.25,439203257.0,166285467.03675717,Caution,4.3899,0.014,150,Q1 (Jan-Mar),0,R29.96M,R439.20M
Free State,Works,4,3,4313845.0,17015546.0,51046638.0,23299257.88972286,Caution,4.354,0.002,151,Q4 (Oct-Dec),0,R4.31M,R51.05M
Northern Cape,Services,1,3,24000000.0,66480325.666666664,199440977.0,93371640.98599492,Caution,4.3334,0.006,152,Q1 (Jan-Mar),0,R24.00M,R199.44M
Mpumalanga,Unknown,4,3,3498174.0,4383217.333333333,13149652.0,4146588.1631003977,Caution,4.2943,0.0,153,Q4 (Oct-Dec),0,R3.50M,R13.15M
Free State,Unknown,4,3,3011744.0,3026041.3333333335,9078124.0,615174.6197668865,Caution,4.2516,0.0,154,Q4 (Oct-Dec),0,R3.01M,R9.08M
Northern Cape,Unknown,1,2,13844947.0,13844947.0,27689894.0,17511998.653472368,Caution,4.1931,0.001,155,Q1 (Jan-Mar),0,R13.84M,R27.69M
Northern Cape,Goods,1,4,2112900.0,8628457.75,34513831.0,14026039.789867282,Caution,3.7137,0.001,156,Q1 (Jan-Mar),0,R2.11M,R34.51M
